Abhishek Sharma
Adam Zampa
Aiden Markram
Ajinkya Rahane
Alzarri Joseph
Ambati Rayudu
Andre Russell
Arshdeep Singh
Ashutosh sharma
Avesh Khan
Axar Patel
Ben Stokes
Cameron Green
David Miller
David Warner
Deepak Chahar
Dinesh Karthik
Faf du Plessis
Glenn Maxwell
Hardik Pandya
Harpreet Brar
Harshal Patel
Ishan Kishan
Jasprit Bumrah
Jonny Bairstow
Jos Butler
Khaleel Ahmed
Kl Rahul
Krunal Pandya
Kuldeep Yadav
Mayank Markande
Mohammad Nabi
Mohammed Siraj
MS Dhoni
Mustafizur Rahman
N. Tilak Varma
Nicholas Pooran
Quinton De Kock
Rahul Chahar
Rahul Tewatia
Rajat Patidar
Rashid Khan
Ravi Bishnoi
Ravichandran Ashwin
Ravindra Jadeja
Rinku Singh
Rishabh Pant
Riyan Parag
Rohit Sharma
Ruturaj Gaikwad
Sam Curran
Sanju Samson
Shashank Singh
Shikhar Dhawan
Shivam Dube
Shreyas Iyer
Shubman Gill
Sunil Narine
Suryakumar Yadav
T Natarajan
Tim Southee
Trent Boult
Tushar Deshpande
Umesh Yadav
Umran Malik
Varun Chakravarty
Virat Kohli
Washington Sundar
Wriddhiman Saha
Yuzwendra Chahal
